Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,78,49,0,0,UP,178330973259
85922219,76,38,0,0,UP,178355157659
85922219,39,77,1,0,DOWN,178356229959
85922219,39,77,1,0,UP,178379475359
85922219,66,48,0,0,DOWN,178388385359
85922219,68,32,0,0,DOWN,178419470659
85922219,66,48,0,0,UP,178443993359
85922219,71,34,0,0,DOWN,178445387559
85922219,68,32,0,0,UP,178459311059
85922219,71,34,0,0,UP,178467215259
85922219,70,33,0,0,DOWN,178475477059
85922219,70,33,0,0,UP,178507889859
85922219,69,18,0,0,DOWN,178508527559
85922219,72,35,0,0,DOWN,178531877259
85922219,69,18,0,0,UP,178547435559
85922219,72,35,0,0,UP,178563464959
85922219,82,19,0,0,DOWN,178571577559
85922219,85,22,0,0,DOWN,178595501959
85922219,82,19,0,0,UP,178611464759
85922219,85,22,0,0,UP,178619043259
85922219,78,49,0,0,DOWN,178651167159
85922219,76,38,0,0,DOWN,178683961159
85922219,78,49,0,0,UP,178691519959
85922219,76,38,0,0,UP,178715703359
85922219,39,77,1,0,DOWN,178716988359
85922219,39,77,1,0,UP,178739641159
85922219,66,48,0,0,DOWN,178747528959
85922219,68,32,0,0,DOWN,178778954559
85922219,66,48,0,0,UP,178794992359
85922219,68,32,0,0,UP,178819352459
85922219,70,33,0,0,DOWN,178836064559
85922219,70,33,0,0,UP,178860076259
85922219,69,18,0,0,DOWN,178867950059
85922219,69,18,0,0,UP,178908476559
85922219,82,19,0,0,DOWN,178923515559
85922219,82,19,0,0,UP,178972205759
85922219,78,49,0,0,DOWN,179019612059
85922219,76,38,0,0,DOWN,179043386259
85922219,78,49,0,0,UP,179060575759
85922219,76,38,0,0,UP,179076463759
85922219,39,77,1,0,DOWN,179078212459
85922219,39,77,1,0,UP,179099422059
85922219,66,48,0,0,DOWN,179107591159
85922219,68,32,0,0,DOWN,179141401859
85922219,66,48,0,0,UP,179148274959
85922219,68,32,0,0,UP,179179464159
85922219,70,33,0,0,DOWN,179195864159
85922219,70,33,0,0,UP,179220314459
85922219,69,18,0,0,DOWN,179227306459
85922219,69,18,0,0,UP,179275707959
85922219,82,19,0,0,DOWN,179283465659
85922219,82,19,0,0,UP,179331764159
85922219,78,49,0,0,DOWN,179379619659
85922219,76,38,0,0,DOWN,179405095159
85922219,78,49,0,0,UP,179419547259
85922219,76,38,0,0,UP,179436402359
85922219,39,77,1,0,DOWN,179438241459
85922219,39,77,1,0,UP,179459775359
85922219,66,48,0,0,DOWN,179467211959
85922219,68,32,0,0,DOWN,179499763159
85922219,66,48,0,0,UP,179515396159
85922219,68,32,0,0,UP,179539763659
85922219,70,33,0,0,DOWN,179555400559
85922219,70,33,0,0,UP,179579886459
85922219,69,18,0,0,DOWN,179587233859
85922219,72,35,0,0,DOWN,179611717759
85922219,69,18,0,0,UP,179627582559
85922219,72,35,0,0,UP,179643974259
85922219,82,19,0,0,DOWN,179651280959
85922219,85,22,0,0,DOWN,179676228459
85922219,82,19,0,0,UP,179691369959
85922219,85,22,0,0,UP,179699808059
85922219,78,49,0,0,DOWN,179732279559
85922219,76,38,0,0,DOWN,179763222759
85922219,78,49,0,0,UP,179771937259
85922219,76,38,0,0,UP,179796583659
85922219,39,77,1,0,DOWN,179797308059
85922219,39,77,1,0,UP,179821895759
85922219,66,48,0,0,DOWN,179823454959
85922219,68,32,0,0,DOWN,179859500959
85922219,66,48,0,0,UP,179892314659
85922219,71,34,0,0,DOWN,179893376959
85922219,68,32,0,0,UP,179898963259
85922219,71,34,0,0,UP,179907245859
85922219,70,33,0,0,DOWN,179916263559
85922219,70,33,0,0,UP,179947636559
85922219,69,18,0,0,DOWN,179955008159
85922219,72,35,0,0,DOWN,179971647159
85922219,69,18,0,0,UP,179987751259
85922219,72,35,0,0,UP,180003949759
85922219,82,19,0,0,DOWN,180004260659
85922219,85,22,0,0,DOWN,180037302159
85922219,82,19,0,0,UP,180051454859
85922219,85,22,0,0,UP,180067579059
85922219,78,49,0,0,DOWN,180091161859
85922219,76,38,0,0,DOWN,180123766359
85922219,78,49,0,0,UP,180131121759
85922219,76,38,0,0,UP,180157232459
85922219,39,77,1,0,DOWN,180158947559
85922219,39,77,1,0,UP,180179301359
85922219,66,48,0,0,DOWN,180187120459
85922219,68,32,0,0,DOWN,180211945959
85922219,66,48,0,0,UP,180243794059
85922219,71,34,0,0,DOWN,180252035959
85922219,68,32,0,0,UP,180259119159
85922219,71,34,0,0,UP,180268126659
85922219,70,33,0,0,DOWN,180283859059
85922219,70,33,0,0,UP,180307486159
